,Dte.,Barris,1r Trimestre 2014,2n Trimestre 2014,3r Trimestre 2014,4rt Trimestre 2014,1r Trimestre 2015,2n Trimestre 2015,3r Trimestre 2015,4rt Trimestre 2015,1r Trimestre 2016,2n Trimestre 2016,3r Trimestre 2016,4rt Trimestre 2016,1r Trimestre 2017
0,1.0,1. el Raval,356,409,423.0,395,313,388,363,420,460,434,397,442,484
1,1.0,2. el Barri Gòtic,135,169,165.0,161,150,190,142,202,187,183,189,226,203
2,1.0,3. la Barceloneta,130,164,132.0,140,155,194,163,191,207,192,171,219,214
3,1.0,"4. Sant Pere, Santa Caterina i la Ribera",196,264,281.0,241,212,273,223,306,277,305,297,298,316
4,2.0,5. el Fort Pienc,203,257,240.0,210,176,200,214,216,204,202,214,250,240
5,2.0,6. la Sagrada Família,298,391,376.0,396,341,358,344,413,348,356,380,401,378
6,2.0,7. la Dreta de l'Eixample,312,372,385.0,361,286,338,336,462,379,349,430,453,435
7,2.0,8. l'Antiga Esquerra de l'Eixample,352,370,453.0,439,336,337,396,437,330,389,470,436,405
8,2.0,9. la Nova Esquerra de l'Eixample,428,419,495.0,452,380,390,450,507,402,430,459,475,450
9,2.0,10. Sant Antoni,286,262,323.0,294,226,257,260,340,254,279,279,288,255
10,3.0,11. el Poble Sec - AEI Parc Montjuïc,270,278,284.0,277,241,258,249,261,283,284,293,290,266
11,3.0,12. la Marina del Prat Vermell - AEI Zona Franca,1,1,,2,2,7,3,9,7,2,1,0,1
12,3.0,13. la Marina de Port,83,113,101.0,95,75,93,98,88,99,106,81,94,91
13,3.0,14. la Font de la Guatlla,56,52,75.0,80,46,43,47,66,63,60,71,69,62
14,3.0,15. Hostafrancs,117,125,122.0,125,102,92,111,149,96,90,126,123,130
15,3.0,16. la Bordeta,89,90,100.0,93,77,68,68,94,86,56,58,68,100
16,3.0,17. Sants - Badal,149,168,177.0,172,128,164,175,167,133,147,154,175,153
17,3.0,18. Sants,316,265,339.0,310,228,243,272,325,266,235,339,330,302
18,4.0,19. les Corts,222,253,295.0,243,211,225,271,281,231,247,320,311,304
19,4.0,20. la Maternitat i Sant Ramon,100,106,168.0,127,82,113,171,151,103,124,176,146,120
20,4.0,21. Pedralbes,50,50,61.0,38,47,45,57,46,34,48,57,50,40
21,5.0,"22. Vallvidrera, el Tibidabo i les Planes",9,14,12.0,9,7,8,19,18,18,21,14,13,20
22,5.0,23. Sarrià,109,117,154.0,136,113,106,157,131,124,147,153,161,150
23,5.0,24. les Tres Torres,71,75,83.0,80,65,64,80,88,74,64,91,101,68
24,5.0,25. Sant Gervasi - la Bonanova,120,158,200.0,185,145,180,198,209,170,164,195,198,174
25,5.0,26. Sant Gervasi - Galvany,293,318,354.0,375,260,298,344,363,325,326,379,365,400
26,5.0,27. el Putxet i el Farró,214,229,245.0,250,240,238,234,304,224,231,279,270,278
27,6.0,28. Vallcarca i els Penitents,75,97,107.0,115,81,108,95,133,122,96,107,134,134
28,6.0,29. el Coll,43,48,47.0,36,33,38,40,51,45,46,55,52,45
29,6.0,30. la Salut,77,76,72.0,86,77,58,62,87,78,66,73,83,86
30,6.0,31. la Vila de Gràcia,512,570,577.0,565,460,483,522,640,553,504,545,589,589
31,6.0,32. el Camp d'en Grassot i Gràcia Nova,199,217,248.0,273,226,239,211,265,212,211,261,219,239
32,7.0,33. el Baix Guinardó,141,163,150.0,147,129,141,145,190,121,164,151,173,174
33,7.0,34. Can Baró,47,50,69.0,47,32,53,63,63,38,55,53,61,56
34,7.0,35. el Guinardó,201,239,235.0,243,179,199,203,227,226,223,219,221,231
35,7.0,36. la Font d'en Fargues,21,27,27.0,18,26,26,24,34,27,28,36,32,29
36,7.0,37. el Carmel,150,166,157.0,164,149,143,114,153,163,155,145,150,184
37,7.0,38. la Teixonera,54,59,65.0,64,57,53,59,85,72,78,76,85,77
38,7.0,39. Sant Genís dels Agudells,32,40,45.0,53,21,43,37,45,44,42,36,42,40
39,7.0,40. Montbau,11,17,23.0,19,20,29,22,33,24,36,42,39,28
40,7.0,41. la Vall d'Hebron,11,16,13.0,9,13,14,12,23,17,16,26,18,19
41,7.0,42. la Clota,1,2,3.0,2,3,2,6,1,4,4,3,4,nd
42,7.0,43. Horta,109,114,123.0,98,82,111,115,119,138,116,125,126,138
43,8.0,44. Vilapicina i la Torre Llobeta,125,108,111.0,102,98,101,80,116,111,131,102,106,152
44,8.0,45. Porta,120,132,127.0,142,110,117,141,122,108,131,112,138,110
45,8.0,46. el Turó de la Peira,69,92,72.0,70,68,53,59,79,74,75,71,80,81
46,8.0,47. Can Peguera,15,7,11.0,,3,3,3,2,1,4,5,8,1
47,8.0,48. la Guineueta,53,70,43.0,71,30,55,40,63,74,49,62,56,69
48,8.0,49. Canyelles,6,7,15.0,11,3,6,6,6,13,7,8,10,13
49,8.0,50. les Roquetes,61,67,73.0,71,67,61,64,56,70,74,56,64,62
50,8.0,51. Verdun,47,64,61.0,60,57,72,52,55,61,63,49,59,46
51,8.0,52. la Prosperitat,114,125,118.0,134,92,118,108,145,99,132,117,125,102
52,8.0,53. la Trinitat Nova,34,36,23.0,31,23,25,27,38,38,22,29,27,22
53,8.0,54. Torre Baró,2,20,4.0,2,3,8,4,6,8,10,4,7,9
54,8.0,55. Ciutat Meridiana,40,30,39.0,37,30,26,23,36,24,37,30,31,30
55,8.0,56. Vallbona,1,3,2.0,2,2,6,2,2,5,3,5,3,4
56,9.0,57. la Trinitat Vella,41,41,51.0,33,30,39,34,40,42,43,37,40,39
57,9.0,58. Baró de Viver,5,16,3.0,4,8,7,6,4,7,2,7,2,4
58,9.0,59. el Bon Pastor,38,36,45.0,40,37,44,40,52,48,46,33,32,42
59,9.0,60. Sant Andreu,267,249,272.0,250,210,226,231,267,253,232,242,234,267
60,9.0,61. la Sagrera,154,137,177.0,150,128,165,137,147,123,121,160,131,152
61,9.0,62. el Congrés i els Indians,71,54,82.0,77,57,59,53,71,62,63,57,55,79
62,9.0,63. Navas,101,93,128.0,113,122,112,106,109,97,74,99,103,110
63,10.0,64. el Camp de l'Arpa del Clot,245,267,273.0,274,220,251,248,301,245,237,260,292,273
64,10.0,65. el Clot,135,132,149.0,165,118,148,128,159,117,127,132,149,141
65,10.0,66. el Parc i la Llacuna del Poblenou,72,81,90.0,62,55,79,68,67,55,85,81,88,100
66,10.0,67. la Vila Olímpica del Poblenou,36,46,33.0,38,28,46,50,41,37,45,42,49,43
67,10.0,68. el Poblenou,177,197,199.0,208,160,186,171,203,202,217,205,215,222
68,10.0,69. Diagonal Mar i el Front Marítim del Poblenou,68,47,46.0,21,36,66,51,81,114,79,72,72,90
69,10.0,70. el Besòs i el Maresme,79,86,104.0,78,65,64,74,70,64,50,62,75,63
70,10.0,71. Provençals del Poblenou,85,79,71.0,70,77,76,81,70,76,99,79,108,103
71,10.0,72. Sant Martí de Provençals,84,94,94.0,90,90,80,92,87,109,87,90,91,102
72,10.0,73. la Verneda i la Pau,69,90,86.0,72,70,66,89,103,77,69,88,69,77
73,,NC,"1,799",681,465.0,"1,798","1,488",362,367,#¡REF!,332,457,367,398,440
